,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Set
0,City Hotel,0,134,2016,March,13,22,0,4,2,0.0,0,BB,SWE,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,87.13,0,0,Check-Out,2016-03-26,train
1,Resort Hotel,0,6,2016,January,2,5,0,2,1,0.0,0,BB,,Online TA,TA/TO,0,0,1,A,D,0,No Deposit,240.0,,0,Transient,39.0,0,2,Check-Out,2016-01-07,train
2,City Hotel,1,295,2015,August,32,8,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-06,train
3,Resort Hotel,1,35,2015,July,29,16,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,135.0,0,0,Canceled,2015-06-13,train
4,City Hotel,1,173,2016,August,32,2,0,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,0,Canceled,2016-07-14,train
5,Resort Hotel,0,0,2017,March,10,9,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,G,0,No Deposit,,,0,Transient,48.0,1,0,Check-Out,2017-03-10,train
6,Resort Hotel,1,245,2015,September,39,25,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,248.0,,0,Transient,80.0,0,0,Canceled,2015-07-31,train
7,City Hotel,0,292,2016,July,30,21,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,0,Check-Out,2016-07-23,train
8,City Hotel,1,161,2016,March,13,25,1,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,B,B,0,Non Refund,12.0,,101,Transient,130.0,0,0,Canceled,2016-02-10,train
9,Resort Hotel,1,45,2017,June,25,23,2,5,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,531.0,,0,Transient,93.0,0,0,Canceled,2017-05-12,train
10,City Hotel,0,34,2016,April,16,11,1,3,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,83.0,,0,Transient,113.04,0,0,Check-Out,2016-04-15,train
11,Resort Hotel,1,33,2017,February,7,17,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,68.0,0,0,Canceled,2017-01-17,train
12,City Hotel,0,33,2016,January,6,31,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,71.53,0,0,Check-Out,2016-02-07,train
13,Resort Hotel,0,253,2017,April,17,23,2,5,1,0.0,0,HB,NLD,Groups,TA/TO,0,0,0,D,E,3,No Deposit,273.0,,0,Transient-Party,69.37,0,0,Check-Out,2017-04-30,train
14,City Hotel,0,41,2017,March,11,14,0,5,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,210.0,,0,Transient,65.0,1,0,Check-Out,2017-03-19,train
15,City Hotel,0,31,2016,May,22,24,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,108.9,0,1,Check-Out,2016-05-26,train
16,City Hotel,1,332,2015,September,38,14,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01,train
17,City Hotel,0,46,2016,July,28,4,1,2,2,0.0,0,BB,CZE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.9,0,1,Check-Out,2016-07-07,train
18,City Hotel,0,70,2017,April,16,16,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,0,Check-Out,2017-04-20,train
19,City Hotel,0,60,2015,October,42,12,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,3.0,,0,Transient-Party,65.0,0,1,Check-Out,2015-10-14,train
20,City Hotel,1,254,2016,October,44,25,0,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0,0,Canceled,2016-02-17,train
21,Resort Hotel,1,86,2017,June,25,24,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,140.0,0,0,Canceled,2017-06-05,train
22,City Hotel,0,108,2017,April,14,3,1,2,3,0.0,0,BB,URY,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,120.6,0,1,Check-Out,2017-04-06,train
23,City Hotel,0,81,2016,February,8,19,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,60.0,0,0,Check-Out,2016-02-22,train
24,City Hotel,1,87,2015,August,33,14,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,12.0,0,0,Canceled,2015-06-15,train
25,Resort Hotel,0,0,2016,April,16,15,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,127.0,,0,Transient,52.8,0,0,Check-Out,2016-04-16,train
26,City Hotel,0,22,2017,February,7,13,1,0,2,0.0,0,SC,USA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,88.0,0,0,Check-Out,2017-02-14,train
27,City Hotel,1,16,2016,December,53,28,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,76.67,0,0,Canceled,2016-12-12,train
28,City Hotel,1,44,2017,July,28,15,2,1,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,153.33,0,1,Canceled,2017-06-12,train
29,City Hotel,1,335,2015,September,38,17,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,5.0,,0,Transient,55.0,0,0,Canceled,2015-05-14,train
30,Resort Hotel,0,10,2017,May,22,30,0,4,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.0,,0,Transient,212.5,1,0,Check-Out,2017-06-03,train
31,City Hotel,1,112,2016,December,50,6,0,4,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,0,Transient,100.3,0,2,Canceled,2016-10-31,train
32,Resort Hotel,0,0,2017,May,21,23,0,1,1,0.0,0,BB,ESP,Direct,TA/TO,1,0,3,A,A,0,No Deposit,250.0,,0,Transient,80.0,0,3,Check-Out,2017-05-24,train
33,City Hotel,0,146,2017,May,21,24,0,3,3,0.0,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,204.0,0,1,Check-Out,2017-05-27,train
34,City Hotel,1,57,2015,October,44,28,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,85.5,0,3,Canceled,2015-09-17,train
35,City Hotel,1,295,2017,June,25,22,0,2,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,108.0,0,2,Canceled,2017-02-09,train
36,Resort Hotel,1,32,2016,June,24,5,2,3,2,0.0,0,BB,ALB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,113.0,0,0,Canceled,2016-05-19,train
37,Resort Hotel,0,5,2017,February,6,11,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,60.0,0,2,Check-Out,2017-02-14,train
38,City Hotel,0,28,2016,May,20,9,1,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,179.0,0,Transient,89.0,0,1,Check-Out,2016-05-12,train
39,City Hotel,1,312,2015,August,35,25,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-06,train
40,City Hotel,1,72,2017,April,16,21,1,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,171.0,0,0,Canceled,2017-02-10,train
41,City Hotel,1,113,2016,September,39,24,1,1,2,0.0,0,BB,CZE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.9,0,0,Canceled,2016-07-18,train
42,City Hotel,0,87,2016,May,20,8,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2016-05-13,train
43,City Hotel,0,64,2016,November,47,18,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2016-11-21,train
44,City Hotel,0,1,2016,April,18,27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,4,A,A,0,No Deposit,,219.0,0,Transient,89.0,0,1,Check-Out,2016-04-28,train
45,City Hotel,0,22,2015,September,38,16,0,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,40.0,,0,Transient,75.0,0,0,Check-Out,2015-09-18,train
46,City Hotel,1,265,2016,April,17,20,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,,0,Transient,101.0,0,0,Canceled,2015-07-30,train
47,City Hotel,1,229,2017,July,28,12,1,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0,Canceled,2016-11-25,train
48,Resort Hotel,1,74,2016,February,9,27,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,48.0,0,2,Canceled,2016-01-11,train
49,City Hotel,1,467,2017,July,30,28,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0,Canceled,2016-07-07,train
50,City Hotel,1,101,2016,April,15,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,41,Transient,80.0,0,0,Canceled,2016-02-04,train
51,City Hotel,0,22,2016,October,42,13,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,40.0,0,Transient,67.0,1,0,Check-Out,2016-10-14,train
52,Resort Hotel,0,1,2016,October,44,27,0,2,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,70.0,0,0,Check-Out,2016-10-29,train
53,City Hotel,1,45,2015,October,44,29,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3.0,,0,Transient,70.0,0,0,Canceled,2015-09-30,train
